id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
239,2023-11-12 21:51:33.028751+00:00,,t,local,19B,73329110717704606,648518346490390299,[ 37040 145840    486]
287,2023-11-13 03:33:14.250122+00:00,,t,intrinsic,6B,72906006711300680,648518346485380115,[ 25408 119960   3881]
117,2023-11-09 04:40:27.621508+00:00,,t,local,uk,72835430264996047,648518346495581366,[ 24424 112952    911]
186,2023-11-11 01:33:53.552763+00:00,,t,intrinsic,6A,73118211985718448,648518346474540909,[ 31048 152408   2985]
127,2023-11-09 21:09:14.936252+00:00,,t,ascending,t3_uk,73189335369165608,648518346474176109,[ 33448 175192    634]
128,2023-11-09 21:09:14.936977+00:00,,t,intrinsic,19A,72413973915669045,648518346497168280,[ 11838 135484   1308]
130,2023-11-09 21:09:14.938330+00:00,,t,intrinsic,8B,72554231508533734,648518346486769869,[ 15012 121710   3475]
141,2023-11-09 21:58:34.874336+00:00,,t,intrinsic,3B,72694831624805552,648518346477642766,[ 19064 117680   3605]
142,2023-11-09 21:58:34.875072+00:00,,t,intrinsic,19B,73328904626260259,648518346493208092,[ 38888 139520    554]
144,2023-11-09 21:58:34.876409+00:00,,t,local_intersegmental,hlx16,72767467709527282,648518346494354745,[ 21232 186080   2934]
193,2023-11-11 01:33:53.557246+00:00,,t,local,6A,73047980412094516,648518346474541677,[ 28720 156008   2488]
183,2023-11-11 01:33:53.550849+00:00,,t,intrinsic,3B,72554162654989996,648518346494978549,[ 15184 119592   3304]
296,2023-11-13 05:23:56.927405+00:00,,t,mn,tpn,72554299959457612,648518346470721790,[ 14384 123344   2959]
189,2023-11-11 01:33:53.554649+00:00,,t,intrinsic,3B,72483656270401343,648518346483468876,[ 13304 115976   2857]
216,2023-11-11 02:48:12.682887+00:00,,t,intrinsic,2A,73257094048437667,648518346495583670,[36280 98272  3074]
242,2023-11-12 21:51:33.030887+00:00,,t,intrinsic,19B,73329179437182887,648518346499918149,[ 38632 147976    493]
184,2023-11-11 01:33:53.551503+00:00,,t,intrinsic,12A,72907380228608887,648518346487808170,[ 25480 160920   2304]
181,2023-11-11 01:33:53.549573+00:00,,t,mn,hg4,72836942630431876,648518346487975490,[ 23136 158112   1935]
177,2023-11-11 01:33:53.546783+00:00,,t,local_intersegmental,1A,72483724453017277,648518346494353143,[ 12872 118304   1839]
196,2023-11-11 01:33:53.559051+00:00,,t,local,hlx16,72343193593024403,648518346489953119,[  8408 123832   2795]
248,2023-11-12 21:51:33.035606+00:00,,t,local,8B,72624737758913715,648518346487616403,[ 16856 125720   3672]
205,2023-11-11 02:14:08.266477+00:00,,t,mn,b2,72483999666645459,648518346480659926,[ 12352 124968   2555]
1162,2023-11-20 21:53:34.437184+00:00,,t,intrinsic,6A,74245209994922977,648518346497956762,[ 64608 186280    330]
227,2023-11-12 20:34:38.875612+00:00,,t,local,3B,72413287459132229,648518346475647329,[ 12208 116552   2762]
194,2023-11-11 01:33:53.557830+00:00,,t,intrinsic,12B_u,73328356615345058,648518346481577871,[ 38176 123224   3906]
233,2023-11-12 21:06:37.735696+00:00,,t,ascending,17B_u,72483998995451506,648518346496080235,[ 12824 126672   1241]
234,2023-11-12 21:06:37.736342+00:00,,t,intrinsic,5B,73400716815027876,648518346495116210,[ 39608 183576   1200]
175,2023-11-11 01:33:53.545371+00:00,,t,local,6B,73328906304199613,648518346484712605,[ 37552 139968   3832]
176,2023-11-11 01:33:53.546105+00:00,,t,mn,hg3,72624737691698270,648518346492294783,[ 16480 126656   3508]
178,2023-11-11 01:33:53.547476+00:00,,t,local,3B,72413356447233943,648518346503569825,[ 12232 117888   3310]
179,2023-11-11 01:33:53.548145+00:00,,t,local,3B,72484342391421035,648518346475249249,[ 13248 135888    890]
226,2023-11-12 20:34:38.874952+00:00,,t,intrinsic,19B,73329179571660197,648518346496561015,[ 38048 147552    769]
